investigator,cycle,institution,amount_awarded,title
Antonios Douros,201903PJT,Lady Davis Institute for Medical Research (Mtl),233521,Effectiveness and safety of direct oral anticoagulants in patients with non-valvular atrial fibrillation and liver disease
Darren Brenner,201903PJT,University of Calgary,474889,Predicting the Risk of Advanced Colorectal Polyps with Circulating Biomarkers (P-RAP)
Denis Talbot,201903PJT,NA,287545,"Real-World Evaluation of the Efficacy, Safety and Cost-Effectiveness of Statins for Primary Prevention of Cardiovascular Disease Among the Elderly - A Causal Perspective to Treatment Trajectory Analysis"
Laurent Briollais,201903PJT,Lunenfeld-Tanenbaum Research Institute  (Toronto),630667,Extending risk prediction models for hereditary breast ovarian cancer (HBOC)
Mahyar Etminan,201903PJT,University of British Columbia,187424,Tumor necrosis factor inhibitors (TNFi) and Risk of Multiple Sclerosis
Mathieu Maheu-Giroux,201903PJT,McGill University,478126,Elimination of cervical cancer through vaccination and screening in high HIV prevalence settings: a mathematical modeling and cost effectiveness study
Robert Schwartz,201903PJT,University of Toronto,382500,Vaping e-cigarettes: Prospective Outcome Study
Ann Burchell,201909PJT,"St. Michael's Hospital (Toronto, Ontario)",577039,"Effectiveness of human papillomavirus vaccine in gay, bisexual and other men who have sex with men"
Helen Trottier,201909PJT,NA,612259,Produits sanguins provenant de don de sang d'hommes ayant des relations sexuelles avec d'autres hommes (Étude PS-HARSAH)
Kate Zinszer,201909PJT,NA,328513,Identifying disease determinants and forecasting potential of co-circulating arboviruses
Kathleen Deering,201909PJT,Centre for Gender and Sexual Health Equity (BC),976196,Longitudinal impacts of violence and stigma on HIV care continuum and broader health care access among WLWH: the SHAWNA Project
Laurent Azoulay,201909PJT,Lady Davis Institute for Medical Research (Mtl),298844,SGLT-2 Inhibitors and Early Bladder Cancer Events: An International Multi-Centre Study
Peter Loewen,201909PJT,University of British Columbia,260101,Preventable strokes and deaths in atrial fibrillation patients: Understanding the impacts of anticoagulant nonadherence and nonpersistence
Antony Chum,202003PJT,"York University (Toronto, Ontario)",225675,Evaluating the impact of recreational cannabis legalization on acute care outcomes
Dimitra Panagiotoglou,202003PJT,McGill University,355725,"The effects, costs, and cost-effectiveness of Montreal's harm reduction interventions for people who inject drugs"
Kevin Schwartzman,202003PJT,Research Institute of the McGill University Health Centre,416924,Tuberculosis in Canada: Modeling to Inform Elimination
Kristian Filion,202003PJT,Lady Davis Institute for Medical Research (Mtl),191251,A population-based assessment of pharmacological treatments for gestational diabetes
Mathieu Maheu-Giroux,202003PJT,McGill University,531676,Optimizing HIV testing services in sub-Saharan Africa to end the AIDS epidemic by 2030
Nancy Carnide,202003PJT,Institute for Work & Health (Toronto),485776,Understanding cannabis use and associated long-term recovery and return-to-work outcomes among Ontario workers following a work-related injury or illness
Nancy Mayo,202003PJT,Research Institute of the McGill University Health Centre,1147500,Health-Related Quality of Life and Aging: Measuring what Matters to Older People
Sarah Buchan,202003PJT,Public Health Ontario (Toronto),344250,Using Linked Laboratory and Health Administrative Data to Study Respiratory Syncytial Virus (RSV)-Associated Hospitalizations and Mortality in Adults in Ontario
Alexandra de Pokomandy,202010PJT,Research Institute of the McGill University Health Centre,554625,Creating a learning health system to improve cancer prevention in people living with HIV
Daniel Werb,202010PJT,Unity Health Toronto,761175,Preventing Injecting and Overdose by Disrupting Injection Drug Use Transitions: The PRIMER II Study
Isaac Bogoch,202010PJT,University Health Network (Toronto),543150,"Clinical Evaluation and Cost-Effectiveness of HIV Post-Exposure Prophylaxis-in-Pocket (""PIP"") for Individuals with a Low Frequency of High-Risk Exposures: A Matched Control Study"
Kristian Filion,202010PJT,Lady Davis Institute for Medical Research (Mtl),137700,Comparative Effectiveness and Safety of Long-acting Insulins and Neutral Protamine Hagedorn (NPH) Insulin among Patients with Type 2 Diabetes
Peter Tanuseputro,202010PJT,Institute for Clinical Evaluative Sciences-Toronto,382500,Investigating the Impact of Cannabis Retail Policies on Health Harms and Benefits
Roberta Woodgate,202010PJT,University of Manitoba,761176,Young immigrants and refugees co-designing mental health and well-being solutions
Simon Grandjean Lapierre,202010PJT,NA,761176,Tuberculosis Whole Genome Sequencing for Disease Control in Madagascar - A Cluster Randomized Controlled Trial to Evaluate Different Community-Level Strategies to Reduce the Burden of Disease
Zachary Zimmer,202010PJT,Mount Saint Vincent University (Halifax),1250776,The Long-Term Effects of War on Biological Aging: The Case of Vietnam
Anne Cockcroft,202104PJT,McGill University,1430550,"Impact oriented dialogue for culturally safe adolescent sexual and reproductive health in Bauchi State, Nigeria"
Christel Renoux,202104PJT,Lady Davis Institute for Medical Research (Mtl),120000,Gabapentinoids and the risk of severe respiratory events in patients with chronic obstructive pulmonary disease
Christine Till,202104PJT,"York University (Toronto, Ontario)",470475,Impact of early life fluoride exposure on neurodevelopmental outcomes among children in the New Hampshire Birth Cohort
Kristian Filion,202104PJT,Lady Davis Institute for Medical Research (Mtl),175951,The Safety of Antipsychotic Drugs Among Children and Youth With Attention Deficit and Hyperactivity Disorder
Marnin Heisel,202104PJT,Western University (Ontario),608176,Screening for Suicide Risk among Older Adults in Ontario Long-Term Care Homes: Assessing the Prevalence and Correlates of Suicide Ideation in a Vulnerable Demographic
Muhammad Husain,202104PJT,Centre for Addiction and Mental Health (Toronto),744785,Culturally adapted psychoeducation (CaPE) for bipolar disorder in a low-resource setting: a randomized controlled trial
Qingling Duan,202104PJT,"Queen's University (Kingston, Ontario)",906526,Early Determinants of Lung Function and Asthma
Tara Gomes,202104PJT,Unity Health Toronto,1002152,Ontario's Opioid Drug Observatory: Generating evidence on the evolving opioid crisis to inform and evaluate drug policy and clinical practice in Ontario
Tony Antoniou,202104PJT,Unity Health Toronto,237150,Population-based studies on drug interactions between opioids and commonly prescribed drugs
