cmte,app,memno,cid,aid,exp,job,init_score,top_bottom,consensus,any_bottom,rank_pct,discussed,panelist,exp_med,exp_low,exp_none,deviated,dev_sd_i,deviation,score
01,10,01,01_01,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,10,02,01_02,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.5,4.9
01,10,03,01_03,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,10,04,01_04,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,05,01_05,01_10,high,reviewer,4.7,top,4.4,TRUE,0.9130434782608695,TRUE,0,0,0,0,0,0.15,0,4.4
01,10,06,01_06,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,1,0.3,-0.1,4.3
01,10,07,01_07,01_10,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,10,08,01_08,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,09,01_09,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,-0.2,4.2
01,10,10,01_10,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,11,01_11,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,10,12,01_12,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,13,01_13,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,1,0.3,-0.2,4.2
01,10,14,01_14,01_10,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,1,0.3,0.1,4.5
01,10,15,01_15,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,16,01_16,01_10,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,10,17,01_17,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.3,4.7
01,10,18,01_18,01_10,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,10,19,01_19,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,10,20,01_20,01_10,high,reviewer,4.7,top,4.4,TRUE,0.9130434782608695,TRUE,0,0,0,0,0,0.15,0,4.4
01,10,21,01_21,01_10,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,10,22,01_22,01_10,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,10,23,01_23,01_10,none,reviewer,3.9,bottom,4.4,TRUE,0.9130434782608695,TRUE,0,0,0,1,1,0.15,-0.1,4.3
01,12,01,01_01,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,1,0.3,-0.1,4.4
01,12,02,01_02,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,03,01_03,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,0,0.3,0,4.5
01,12,04,01_04,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,1,0.3,-0.1,4.4
01,12,05,01_05,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,1,0.3,0.2,4.7
01,12,06,01_06,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,0,0.3,0,4.5
01,12,07,01_07,01_12,high,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,0,1,0.3,-0.2,4.3
01,12,08,01_08,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,1,0.3,-0.3,4.2
01,12,09,01_09,01_12,high,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,0,1,0.3,0.2,4.7
01,12,10,01_10,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,1,0.3,-0.2,4.3
01,12,11,01_11,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,12,01_12,01_12,med,reviewer,4.7,top,4.5,FALSE,0.9782608695652174,TRUE,0,1,0,0,0,0.15,0,4.5
01,12,13,01_13,01_12,med,reviewer,4.5,top,4.5,FALSE,0.9782608695652174,TRUE,0,1,0,0,0,0.15,0,4.5
01,12,14,01_14,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,15,01_15,01_12,high,reviewer,4.4,top,4.5,FALSE,0.9782608695652174,TRUE,0,0,0,0,0,0.15,0,4.5
01,12,16,01_16,01_12,med,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,1,0,0,1,0.3,-0.1,4.4
01,12,17,01_17,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,0,0.3,0,4.5
01,12,18,01_18,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,19,01_19,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,1,0.3,0.1,4.6
01,12,20,01_20,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,21,01_21,01_12,low,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,1,0,0,0.3,0,4.5
01,12,22,01_22,01_12,med,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,1,0,0,1,0.3,-0.2,4.3
01,12,23,01_23,01_12,none,panelist,NA,NA,4.5,FALSE,0.9782608695652174,TRUE,1,0,0,1,1,0.3,0.1,4.6
01,14,01,01_01,01_14,med,reviewer,4.7,top,4.4,TRUE,0.9130434782608695,TRUE,0,1,0,0,0,0.15,0,4.4
01,14,02,01_02,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,03,01_03,01_14,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,14,04,01_04,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,05,01_05,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.1,4.5
01,14,06,01_06,01_14,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,14,07,01_07,01_14,med,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,14,08,01_08,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,09,01_09,01_14,high,reviewer,4.5,top,4.4,TRUE,0.9130434782608695,TRUE,0,0,0,0,0,0.15,0,4.4
01,14,10,01_10,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,11,01_11,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,12,01_12,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,13,01_13,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,14,01_14,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.1,4.5
01,14,15,01_15,01_14,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,14,16,01_16,01_14,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,1,0.3,0.2,4.6
01,14,17,01_17,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,18,01_18,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,19,01_19,01_14,high,reviewer,3.9,bottom,4.4,TRUE,0.9130434782608695,TRUE,0,0,0,0,0,0.15,0,4.4
01,14,20,01_20,01_14,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,14,21,01_21,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,14,22,01_22,01_14,none,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.3,4.7
01,14,23,01_23,01_14,low,panelist,NA,NA,4.4,TRUE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,17,01,01_01,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,02,01_02,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,03,01_03,01_17,med,reviewer,4.1,top,4.1,FALSE,0.6739130434782609,TRUE,0,1,0,0,0,0.15,0,4.1
01,17,04,01_04,01_17,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,0,0.3,0,4.1
01,17,05,01_05,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,06,01_06,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,1,0.3,0.3,4.4
01,17,07,01_07,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,08,01_08,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,09,01_09,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,10,01_10,01_17,high,reviewer,4.2,top,4.1,FALSE,0.6739130434782609,TRUE,0,0,0,0,1,0.15,0.1,4.2
01,17,11,01_11,01_17,high,reviewer,3.9,top,4.1,FALSE,0.6739130434782609,TRUE,0,0,0,0,0,0.15,0,4.1
01,17,12,01_12,01_17,high,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,0,1,0.3,-0.2,3.9
01,17,13,01_13,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,1,0.3,0.2,4.3
01,17,14,01_14,01_17,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,17,15,01_15,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,16,01_16,01_17,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,17,17,01_17,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,18,01_18,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,19,01_19,01_17,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,0,0.3,0,4.1
01,17,20,01_20,01_17,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,17,21,01_21,01_17,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,17,22,01_22,01_17,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,17,23,01_23,01_17,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,0.1,4.2
01,21,01,01_01,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.1,4.5
01,21,02,01_02,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,03,01_03,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,04,01_04,01_21,med,reviewer,4.3,top,4.4,FALSE,0.9130434782608695,TRUE,0,1,0,0,0,0.15,0,4.4
01,21,05,01_05,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,21,06,01_06,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,21,07,01_07,01_21,high,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,0,0,0.3,0,4.4
01,21,08,01_08,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,21,09,01_09,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,10,01_10,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,11,01_11,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,12,01_12,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,1,0.3,0.3,4.7
01,21,13,01_13,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.2,4.6
01,21,14,01_14,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,0,0.3,0,4.4
01,21,15,01_15,01_21,low,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,1,0,0,0.3,0,4.4
01,21,16,01_16,01_21,low,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,1,0,1,0.3,-0.1,4.3
01,21,17,01_17,01_21,med,reviewer,4.5,top,4.4,FALSE,0.9130434782608695,TRUE,0,1,0,0,0,0.15,0,4.4
01,21,18,01_18,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,21,19,01_19,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,-0.1,4.3
01,21,20,01_20,01_21,none,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,1,1,0.3,0.4,4.8
01,21,21,01_21,01_21,high,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,0,0,0,1,0.3,-0.3,4.1
01,21,22,01_22,01_21,high,reviewer,4.5,top,4.4,FALSE,0.9130434782608695,TRUE,0,0,0,0,1,0.15,0.2,4.6
01,21,23,01_23,01_21,med,panelist,NA,NA,4.4,FALSE,0.9130434782608695,TRUE,1,1,0,0,0,0.3,0,4.4
01,23,01,01_01,01_23,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,1,0.3,0.2,4.3
01,23,02,01_02,01_23,high,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,0,1,0.3,-0.2,3.9
01,23,03,01_03,01_23,high,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,0,0,0.3,0,4.1
01,23,04,01_04,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,0.3,4.4
01,23,05,01_05,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,23,06,01_06,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,23,07,01_07,01_23,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,23,08,01_08,01_23,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,-0.2,3.9
01,23,09,01_09,01_23,high,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,0,0,0.3,0,4.1
01,23,10,01_10,01_23,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,23,11,01_11,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,-0.1,4
01,23,12,01_12,01_23,high,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,0,0,0.3,0,4.1
01,23,13,01_13,01_23,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,0,0.3,0,4.1
01,23,14,01_14,01_23,med,reviewer,4,top,4.1,FALSE,0.6739130434782609,TRUE,0,1,0,0,0,0.15,0,4.1
01,23,15,01_15,01_23,med,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,1,0,0,1,0.3,-0.3,3.8
01,23,16,01_16,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,0,0.3,0,4.1
01,23,17,01_17,01_23,med,reviewer,4.2,top,4.1,FALSE,0.6739130434782609,TRUE,0,1,0,0,1,0.15,0.3,4.4
01,23,18,01_18,01_23,high,reviewer,4,top,4.1,FALSE,0.6739130434782609,TRUE,0,0,0,0,0,0.15,0,4.1
01,23,19,01_19,01_23,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,0,0.3,0,4.1
01,23,20,01_20,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,-0.2,3.9
01,23,21,01_21,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,0.4,4.5
01,23,22,01_22,01_23,none,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,0,1,1,0.3,0.4,4.5
01,23,23,01_23,01_23,low,panelist,NA,NA,4.1,FALSE,0.6739130434782609,TRUE,1,0,1,0,1,0.3,-0.1,4
01,26,01,01_01,01_26,high,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,0,1,0.3,-0.2,4.1
01,26,02,01_02,01_26,low,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,1,0,1,0.3,0.2,4.5
01,26,03,01_03,01_26,low,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,1,0,0,0.3,0,4.3
01,26,04,01_04,01_26,low,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,1,0,0,0.3,0,4.3
01,26,05,01_05,01_26,med,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,1,0,0,0,0.3,0,4.3
01,26,06,01_06,01_26,med,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,1,0,0,0,0.3,0,4.3
01,26,07,01_07,01_26,low,reviewer,4.2,top,4.3,FALSE,0.8478260869565217,TRUE,0,0,1,0,0,0.15,0,4.3
01,26,08,01_08,01_26,none,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,1,0,0.3,0,4.3
01,26,09,01_09,01_26,none,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,1,0,0.3,0,4.3
01,26,10,01_10,01_26,high,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,0,0,0.3,0,4.3
01,26,11,01_11,01_26,none,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,1,0,0.3,0,4.3
01,26,12,01_12,01_26,low,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,1,0,0,0.3,0,4.3
01,26,13,01_13,01_26,low,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,1,0,1,0.3,-0.2,4.1
01,26,14,01_14,01_26,none,panelist,NA,NA,4.3,FALSE,0.8478260869565217,TRUE,1,0,0,1,0,0.3,0,4.3
