cmte,app,memno,cid,job,exp,init_score,consensus,panelist,exp_high,exp_low,exp_none,deviated,deviation,score
01,4,16,01_16,panelist,none,NA,3.6,1,0,0,1,1,0.2,3.8
01,4,17,01_17,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,4,18,01_18,panelist,med,NA,3.6,1,0,0,0,1,0.1,3.7
01,4,19,01_19,panelist,med,NA,3.6,1,0,0,0,1,-0.2,3.4
01,4,20,01_20,panelist,med,NA,3.6,1,0,0,0,0,0,3.6
01,4,21,01_21,reviewer,none,3.7,3.6,0,0,0,1,1,0.2,3.8
01,4,22,01_22,panelist,med,NA,3.6,1,0,0,0,1,-0.2,3.4
01,4,23,01_23,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,4,24,01_24,panelist,high,NA,3.6,1,1,0,0,0,0,3.6
01,7,01,01_01,panelist,none,NA,3.9,1,0,0,1,1,0.3,4.2
01,7,02,01_02,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,7,03,01_03,panelist,none,NA,3.9,1,0,0,1,1,0.1,4
01,7,04,01_04,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,7,05,01_05,panelist,low,NA,3.9,1,0,1,0,1,0.1,4
01,7,06,01_06,panelist,high,NA,3.9,1,1,0,0,0,0,3.9
01,7,07,01_07,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,7,08,01_08,panelist,low,NA,3.9,1,0,1,0,1,0.3,4.2
01,7,09,01_09,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,7,10,01_10,panelist,med,NA,3.9,1,0,0,0,1,-0.1,3.8
01,7,11,01_11,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,7,12,01_12,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,7,13,01_13,reviewer,none,4,3.9,0,0,0,1,0,0,3.9
01,7,14,01_14,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,15,01_15,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,16,01_16,panelist,none,NA,3.9,1,0,0,1,1,0.3,4.2
01,7,17,01_17,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,18,01_18,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,7,19,01_19,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,20,01_20,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,21,01_21,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,7,22,01_22,reviewer,med,4,3.9,0,0,0,0,1,0.2,4.1
01,7,23,01_23,reviewer,high,3.8,3.9,0,1,0,0,1,-0.2,3.7
01,7,24,01_24,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,9,01,01_01,panelist,none,NA,3.6,1,0,0,1,1,0.1,3.7
01,9,02,01_02,panelist,low,NA,3.6,1,0,1,0,1,-0.3,3.3
01,9,03,01_03,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,9,04,01_04,panelist,low,NA,3.6,1,0,1,0,1,-0.1,3.5
01,9,05,01_05,panelist,med,NA,3.6,1,0,0,0,1,-0.1,3.5
01,9,06,01_06,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,9,07,01_07,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,9,08,01_08,panelist,none,NA,3.6,1,0,0,1,1,0.3,3.9
01,9,09,01_09,panelist,low,NA,3.6,1,0,1,0,0,0,3.6
01,9,10,01_10,panelist,low,NA,3.6,1,0,1,0,1,0.1,3.7
01,9,11,01_11,panelist,none,NA,3.6,1,0,0,1,1,-0.2,3.4
01,9,12,01_12,panelist,high,NA,3.6,1,1,0,0,0,0,3.6
01,9,13,01_13,reviewer,low,3.6,3.6,0,0,1,0,0,0,3.6
01,9,14,01_14,panelist,med,NA,3.6,1,0,0,0,0,0,3.6
01,9,15,01_15,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,9,16,01_16,panelist,high,NA,3.6,1,1,0,0,1,0.1,3.7
01,9,17,01_17,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,9,18,01_18,panelist,none,NA,3.6,1,0,0,1,1,0.3,3.9
01,9,19,01_19,panelist,none,NA,3.6,1,0,0,1,0,0,3.6
01,9,20,01_20,reviewer,low,3.5,3.6,0,0,1,0,0,0,3.6
01,9,21,01_21,panelist,med,NA,3.6,1,0,0,0,0,0,3.6
01,9,22,01_22,panelist,med,NA,3.6,1,0,0,0,0,0,3.6
01,9,23,01_23,reviewer,none,3.7,3.6,0,0,0,1,0,0,3.6
01,9,24,01_24,panelist,med,NA,3.6,1,0,0,0,1,0.1,3.7
01,10,01,01_01,panelist,high,NA,4.2,1,1,0,0,0,0,4.2
01,10,02,01_02,panelist,none,NA,4.2,1,0,0,1,1,-0.3,3.9
01,10,03,01_03,reviewer,high,4.3,4.2,0,1,0,0,0,0,4.2
01,10,04,01_04,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,10,05,01_05,panelist,none,NA,4.2,1,0,0,1,1,0.1,4.3
01,10,06,01_06,reviewer,low,3.9,4.2,0,0,1,0,0,0,4.2
01,10,07,01_07,panelist,none,NA,4.2,1,0,0,1,1,-0.2,4
01,10,08,01_08,reviewer,none,4.3,4.2,0,0,0,1,1,0.4,4.6
01,10,09,01_09,panelist,med,NA,4.2,1,0,0,0,0,0,4.2
01,10,10,01_10,panelist,med,NA,4.2,1,0,0,0,0,0,4.2
01,10,11,01_11,panelist,low,NA,4.2,1,0,1,0,1,-0.1,4.1
01,10,12,01_12,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,10,13,01_13,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,10,14,01_14,panelist,none,NA,4.2,1,0,0,1,1,0.3,4.5
01,10,15,01_15,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,10,16,01_16,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,10,17,01_17,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,10,18,01_18,panelist,med,NA,4.2,1,0,0,0,1,0.1,4.3
01,10,19,01_19,panelist,med,NA,4.2,1,0,0,0,1,-0.3,3.9
01,10,20,01_20,panelist,low,NA,4.2,1,0,1,0,1,0.1,4.3
01,10,21,01_21,panelist,med,NA,4.2,1,0,0,0,1,0.3,4.5
01,10,22,01_22,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,10,23,01_23,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,10,24,01_24,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,14,01,01_01,panelist,low,NA,3.7,1,0,1,0,1,0.2,3.9
01,14,02,01_02,panelist,low,NA,3.7,1,0,1,0,1,-0.1,3.6
01,14,03,01_03,reviewer,low,3.7,3.7,0,0,1,0,0,0,3.7
01,14,04,01_04,reviewer,med,3.8,3.7,0,0,0,0,1,0.1,3.8
01,14,05,01_05,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,06,01_06,panelist,med,NA,3.7,1,0,0,0,1,0.2,3.9
01,14,07,01_07,reviewer,low,3.7,3.7,0,0,1,0,0,0,3.7
01,14,08,01_08,panelist,med,NA,3.7,1,0,0,0,0,0,3.7
01,14,09,01_09,panelist,high,NA,3.7,1,1,0,0,0,0,3.7
01,14,10,01_10,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,11,01_11,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,12,01_12,panelist,high,NA,3.7,1,1,0,0,0,0,3.7
01,14,13,01_13,panelist,none,NA,3.7,1,0,0,1,1,0.1,3.8
01,14,14,01_14,panelist,none,NA,3.7,1,0,0,1,1,0.3,4
01,14,15,01_15,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,16,01_16,panelist,med,NA,3.7,1,0,0,0,0,0,3.7
01,14,17,01_17,panelist,med,NA,3.7,1,0,0,0,1,-0.2,3.5
01,14,18,01_18,panelist,none,NA,3.7,1,0,0,1,1,0.1,3.8
01,14,19,01_19,panelist,low,NA,3.7,1,0,1,0,0,0,3.7
01,14,20,01_20,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,21,01_21,panelist,low,NA,3.7,1,0,1,0,1,0.2,3.9
01,14,22,01_22,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,14,23,01_23,panelist,low,NA,3.7,1,0,1,0,1,0.2,3.9
01,14,24,01_24,panelist,none,NA,3.7,1,0,0,1,1,0.2,3.9
01,16,01,01_01,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,16,02,01_02,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,16,03,01_03,reviewer,none,3.6,3.9,0,0,0,1,0,0,3.9
01,16,04,01_04,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,16,05,01_05,panelist,none,NA,3.9,1,0,0,1,1,0.1,4
01,16,06,01_06,panelist,low,NA,3.9,1,0,1,0,1,-0.2,3.7
01,16,07,01_07,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,16,08,01_08,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,16,09,01_09,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,16,10,01_10,panelist,none,NA,3.9,1,0,0,1,1,-0.1,3.8
01,16,11,01_11,reviewer,low,3.9,3.9,0,0,1,0,0,0,3.9
01,16,12,01_12,panelist,low,NA,3.9,1,0,1,0,1,0.1,4
01,16,13,01_13,panelist,none,NA,3.9,1,0,0,1,1,0.1,4
01,16,14,01_14,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,16,15,01_15,panelist,med,NA,3.9,1,0,0,0,1,-0.1,3.8
01,16,16,01_16,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,16,17,01_17,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,16,18,01_18,reviewer,low,4.2,3.9,0,0,1,0,0,0,3.9
01,16,19,01_19,panelist,high,NA,3.9,1,1,0,0,0,0,3.9
01,16,20,01_20,panelist,none,NA,3.9,1,0,0,1,1,0.2,4.1
01,16,21,01_21,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,16,22,01_22,panelist,high,NA,3.9,1,1,0,0,0,0,3.9
01,16,23,01_23,panelist,med,NA,3.9,1,0,0,0,1,-0.1,3.8
01,16,24,01_24,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,17,01,01_01,panelist,low,NA,3.8,1,0,1,0,1,0.1,3.9
01,17,02,01_02,reviewer,none,3.8,3.8,0,0,0,1,0,0,3.8
01,17,03,01_03,panelist,low,NA,3.8,1,0,1,0,1,-0.1,3.7
01,17,04,01_04,panelist,none,NA,3.8,1,0,0,1,1,-0.1,3.7
01,17,05,01_05,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,17,06,01_06,panelist,none,NA,3.8,1,0,0,1,1,-0.1,3.7
01,17,07,01_07,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,17,08,01_08,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,17,09,01_09,reviewer,high,3.9,3.8,0,1,0,0,1,-0.1,3.7
01,17,10,01_10,panelist,med,NA,3.8,1,0,0,0,1,0.2,4
01,17,11,01_11,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,17,12,01_12,reviewer,none,3.6,3.8,0,0,0,1,0,0,3.8
01,17,13,01_13,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,17,14,01_14,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,17,15,01_15,panelist,low,NA,3.8,1,0,1,0,1,0.2,4
01,17,16,01_16,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,17,17,01_17,panelist,none,NA,3.8,1,0,0,1,1,0.1,3.9
01,17,18,01_18,panelist,med,NA,3.8,1,0,0,0,1,0.4,4.2
01,17,19,01_19,panelist,high,NA,3.8,1,1,0,0,0,0,3.8
01,17,20,01_20,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,17,21,01_21,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,17,22,01_22,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,17,23,01_23,panelist,med,NA,3.8,1,0,0,0,1,-0.2,3.6
01,17,24,01_24,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,22,01,01_01,panelist,none,NA,4.2,1,0,0,1,1,0.1,4.3
01,22,02,01_02,panelist,none,NA,4.2,1,0,0,1,1,-0.3,3.9
01,22,03,01_03,panelist,low,NA,4.2,1,0,1,0,1,-0.1,4.1
01,22,04,01_04,reviewer,none,4,4.2,0,0,0,1,1,0.2,4.4
01,22,05,01_05,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,22,06,01_06,panelist,med,NA,4.2,1,0,0,0,1,0.1,4.3
01,22,07,01_07,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,22,08,01_08,panelist,high,NA,4.2,1,1,0,0,0,0,4.2
01,22,09,01_09,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,22,10,01_10,panelist,med,NA,4.2,1,0,0,0,0,0,4.2
01,22,11,01_11,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,22,12,01_12,panelist,high,NA,4.2,1,1,0,0,0,0,4.2
01,22,13,01_13,panelist,none,NA,4.2,1,0,0,1,1,-0.1,4.1
01,22,14,01_14,reviewer,none,4.3,4.2,0,0,0,1,0,0,4.2
01,22,15,01_15,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,22,16,01_16,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,22,17,01_17,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,22,18,01_18,panelist,none,NA,4.2,1,0,0,1,1,0.3,4.5
01,22,19,01_19,panelist,low,NA,4.2,1,0,1,0,1,-0.2,4
01,22,20,01_20,panelist,med,NA,4.2,1,0,0,0,0,0,4.2
01,22,21,01_21,panelist,med,NA,4.2,1,0,0,0,0,0,4.2
01,22,22,01_22,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,22,23,01_23,panelist,med,NA,4.2,1,0,0,0,1,-0.1,4.1
01,22,24,01_24,reviewer,none,4.4,4.2,0,0,0,1,0,0,4.2
01,23,01,01_01,panelist,low,NA,4.1,1,0,1,0,1,-0.1,4
01,23,02,01_02,panelist,none,NA,4.1,1,0,0,1,1,-0.2,3.9
01,23,03,01_03,panelist,low,NA,4.1,1,0,1,0,0,0,4.1
01,23,04,01_04,panelist,high,NA,4.1,1,1,0,0,0,0,4.1
01,23,05,01_05,panelist,med,NA,4.1,1,0,0,0,0,0,4.1
01,23,06,01_06,panelist,med,NA,4.1,1,0,0,0,0,0,4.1
01,23,07,01_07,panelist,none,NA,4.1,1,0,0,1,0,0,4.1
01,23,08,01_08,panelist,low,NA,4.1,1,0,1,0,0,0,4.1
01,23,09,01_09,panelist,low,NA,4.1,1,0,1,0,0,0,4.1
01,23,10,01_10,reviewer,none,4,4.1,0,0,0,1,0,0,4.1
01,23,11,01_11,panelist,low,NA,4.1,1,0,1,0,1,-0.1,4
01,23,12,01_12,reviewer,med,4.3,4.1,0,0,0,0,0,0,4.1
01,23,13,01_13,panelist,none,NA,4.1,1,0,0,1,0,0,4.1
01,23,14,01_14,panelist,high,NA,4.1,1,1,0,0,0,0,4.1
01,23,15,01_15,panelist,med,NA,4.1,1,0,0,0,0,0,4.1
01,23,16,01_16,panelist,none,NA,4.1,1,0,0,1,1,0.2,4.3
01,23,17,01_17,panelist,none,NA,4.1,1,0,0,1,1,-0.2,3.9
01,23,18,01_18,panelist,med,NA,4.1,1,0,0,0,1,0.1,4.2
01,23,19,01_19,panelist,none,NA,4.1,1,0,0,1,1,-0.2,3.9
01,23,20,01_20,panelist,low,NA,4.1,1,0,1,0,1,-0.1,4
01,23,21,01_21,panelist,none,NA,4.1,1,0,0,1,0,0,4.1
01,23,22,01_22,reviewer,low,4,4.1,0,0,1,0,0,0,4.1
01,23,23,01_23,panelist,none,NA,4.1,1,0,0,1,0,0,4.1
01,23,24,01_24,panelist,none,NA,4.1,1,0,0,1,1,0.1,4.2
01,24,01,01_01,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,24,02,01_02,panelist,high,NA,3.9,1,1,0,0,1,-0.1,3.8
01,24,03,01_03,panelist,none,NA,3.9,1,0,0,1,1,0.1,4
01,24,04,01_04,panelist,low,NA,3.9,1,0,1,0,1,0.1,4
01,24,05,01_05,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,24,06,01_06,panelist,low,NA,3.9,1,0,1,0,0,0,3.9
01,24,07,01_07,panelist,med,NA,3.9,1,0,0,0,1,0.2,4.1
01,24,08,01_08,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,24,09,01_09,panelist,med,NA,3.9,1,0,0,0,0,0,3.9
01,24,10,01_10,panelist,low,NA,3.9,1,0,1,0,1,0.1,4
01,24,11,01_11,panelist,none,NA,3.9,1,0,0,1,1,-0.3,3.6
01,24,12,01_12,panelist,none,NA,3.9,1,0,0,1,1,-0.2,3.7
01,24,13,01_13,panelist,none,NA,3.9,1,0,0,1,1,-0.2,3.7
01,24,14,01_14,reviewer,none,3.8,3.9,0,0,0,1,0,0,3.9
01,24,15,01_15,panelist,med,NA,3.9,1,0,0,0,1,-0.1,3.8
01,24,16,01_16,panelist,none,NA,3.9,1,0,0,1,1,-0.2,3.7
01,24,17,01_17,reviewer,none,4,3.9,0,0,0,1,0,0,3.9
01,24,18,01_18,panelist,none,NA,3.9,1,0,0,1,0,0,3.9
01,24,19,01_19,reviewer,low,3.8,3.9,0,0,1,0,0,0,3.9
01,24,20,01_20,panelist,high,NA,3.9,1,1,0,0,0,0,3.9
01,24,21,01_21,panelist,low,NA,3.9,1,0,1,0,1,0.1,4
01,24,22,01_22,panelist,low,NA,3.9,1,0,1,0,1,0.2,4.1
01,24,23,01_23,panelist,med,NA,3.9,1,0,0,0,1,0.1,4
01,24,24,01_24,panelist,low,NA,3.9,1,0,1,0,1,-0.1,3.8
01,26,01,01_01,panelist,low,NA,3.7,1,0,1,0,0,0,3.7
01,26,02,01_02,panelist,med,NA,3.7,1,0,0,0,0,0,3.7
01,26,03,01_03,panelist,med,NA,3.7,1,0,0,0,0,0,3.7
01,26,04,01_04,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,05,01_05,panelist,med,NA,3.7,1,0,0,0,0,0,3.7
01,26,06,01_06,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,07,01_07,reviewer,low,3.8,3.7,0,0,1,0,1,-0.1,3.6
01,26,08,01_08,panelist,med,NA,3.7,1,0,0,0,1,0.5,4.2
01,26,09,01_09,panelist,high,NA,3.7,1,1,0,0,0,0,3.7
01,26,10,01_10,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,11,01_11,panelist,none,NA,3.7,1,0,0,1,1,-0.3,3.4
01,26,12,01_12,panelist,none,NA,3.7,1,0,0,1,1,0.2,3.9
01,26,13,01_13,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,14,01_14,panelist,low,NA,3.7,1,0,1,0,0,0,3.7
01,26,15,01_15,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,16,01_16,panelist,low,NA,3.7,1,0,1,0,0,0,3.7
01,26,17,01_17,panelist,low,NA,3.7,1,0,1,0,1,0.2,3.9
01,26,18,01_18,reviewer,med,3.5,3.7,0,0,0,0,0,0,3.7
01,26,19,01_19,reviewer,none,3.7,3.7,0,0,0,1,1,-0.3,3.4
01,26,20,01_20,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,21,01_21,panelist,none,NA,3.7,1,0,0,1,0,0,3.7
01,26,22,01_22,panelist,low,NA,3.7,1,0,1,0,0,0,3.7
01,26,23,01_23,panelist,low,NA,3.7,1,0,1,0,1,0.1,3.8
01,26,24,01_24,panelist,high,NA,3.7,1,1,0,0,0,0,3.7
01,29,01,01_01,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,29,02,01_02,panelist,none,NA,3.8,1,0,0,1,1,-0.1,3.7
01,29,03,01_03,reviewer,low,3.9,3.8,0,0,1,0,0,0,3.8
01,29,04,01_04,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,29,05,01_05,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,29,06,01_06,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,29,07,01_07,panelist,high,NA,3.8,1,1,0,0,0,0,3.8
01,29,08,01_08,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,29,09,01_09,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,29,10,01_10,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,29,11,01_11,panelist,none,NA,3.8,1,0,0,1,1,-0.1,3.7
01,29,12,01_12,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,29,13,01_13,panelist,high,NA,3.8,1,1,0,0,0,0,3.8
01,29,14,01_14,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,29,15,01_15,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,29,16,01_16,reviewer,none,3.7,3.8,0,0,0,1,1,-0.2,3.6
01,29,17,01_17,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,29,18,01_18,panelist,med,NA,3.8,1,0,0,0,0,0,3.8
01,29,19,01_19,reviewer,low,3.7,3.8,0,0,1,0,0,0,3.8
01,29,20,01_20,panelist,none,NA,3.8,1,0,0,1,1,-0.3,3.5
01,29,21,01_21,panelist,none,NA,3.8,1,0,0,1,1,0.3,4.1
01,29,22,01_22,panelist,none,NA,3.8,1,0,0,1,0,0,3.8
01,29,23,01_23,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,29,24,01_24,panelist,low,NA,3.8,1,0,1,0,0,0,3.8
01,30,01,01_01,panelist,none,NA,4.2,1,0,0,1,1,-0.4,3.8
01,30,02,01_02,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,30,03,01_03,panelist,none,NA,4.2,1,0,0,1,1,-0.2,4
01,30,04,01_04,panelist,med,NA,4.2,1,0,0,0,1,0.2,4.4
01,30,05,01_05,panelist,none,NA,4.2,1,0,0,1,0,0,4.2
01,30,06,01_06,panelist,none,NA,4.2,1,0,0,1,1,-0.1,4.1
01,30,07,01_07,panelist,high,NA,4.2,1,1,0,0,1,0.1,4.3
01,30,08,01_08,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,30,09,01_09,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
01,30,10,01_10,panelist,low,NA,4.2,1,0,1,0,0,0,4.2
