cmte,app,memno,cid,job,exp,panelist,exp_high,exp_low,exp_none,score
01,2,08,01_08,panelist,none,1,0,0,1,4.422062455263572
01,2,09,01_09,panelist,high,1,1,0,0,4.873628994080757
01,2,10,01_10,panelist,none,1,0,0,1,3.9139204152220555
01,2,11,01_11,panelist,high,1,1,0,0,3.8292109759854727
01,2,12,01_12,panelist,med,1,0,0,0,4.225739718521158
01,2,13,01_13,panelist,med,1,0,0,0,4.754158694737143
01,2,14,01_14,panelist,none,1,0,0,1,4.520765058209687
01,2,15,01_15,reviewer,med,0,0,0,0,4.014974990738011
01,2,16,01_16,panelist,med,1,0,0,0,3.9686559140467272
01,2,17,01_17,panelist,low,1,0,1,0,4.137839842037015
01,2,18,01_18,panelist,high,1,1,0,0,3.987092642109368
01,2,19,01_19,reviewer,med,0,0,0,0,3.995163570180078
01,2,20,01_20,panelist,med,1,0,0,0,3.978451257469032
01,2,21,01_21,panelist,high,1,1,0,0,4.454733418030604
01,2,22,01_22,panelist,high,1,1,0,0,4.0676862563036735
01,2,23,01_23,panelist,high,1,1,0,0,4.072367064071335
01,2,24,01_24,panelist,med,1,0,0,0,3.8383447622439864
01,3,01,01_01,panelist,low,1,0,1,0,3.7035871830293923
01,3,02,01_02,reviewer,low,0,0,1,0,4.411903880229607
01,3,03,01_03,panelist,low,1,0,1,0,4.262749561704822
01,3,04,01_04,reviewer,med,0,0,0,0,4.21744671470525
01,3,05,01_05,panelist,med,1,0,0,0,3.713762631286353
01,3,06,01_06,panelist,med,1,0,0,0,4.3917618791719075
01,3,07,01_07,panelist,none,1,0,0,1,4.017604960213317
01,3,08,01_08,panelist,med,1,0,0,0,4.215355020801275
01,3,09,01_09,panelist,med,1,0,0,0,4.550196955851687
01,3,10,01_10,panelist,high,1,1,0,0,3.828804542902384
01,3,11,01_11,panelist,high,1,1,0,0,4.0497433396177
01,3,12,01_12,panelist,high,1,1,0,0,3.947250525690903
01,3,13,01_13,panelist,high,1,1,0,0,4.275406611450906
01,3,14,01_14,panelist,low,1,0,1,0,4.276812586208659
01,3,15,01_15,panelist,med,1,0,0,0,3.9282913990616297
01,3,16,01_16,reviewer,med,0,0,0,0,3.6839643946193315
01,3,17,01_17,panelist,med,1,0,0,0,3.957382799688344
01,3,18,01_18,panelist,none,1,0,0,1,4.426975998160739
01,3,19,01_19,panelist,high,1,1,0,0,3.53511695527647
01,3,20,01_20,panelist,med,1,0,0,0,4.284016028288604
01,3,21,01_21,panelist,none,1,0,0,1,4.528604864056
01,3,22,01_22,panelist,med,1,0,0,0,4.1623405127283375
01,3,23,01_23,panelist,none,1,0,0,1,4.442071955606576
01,3,24,01_24,panelist,high,1,1,0,0,3.882964432443517
01,4,01,01_01,panelist,high,1,1,0,0,3.8754449324096254
01,4,02,01_02,panelist,none,1,0,0,1,4.866953207983282
01,4,03,01_03,reviewer,none,0,0,0,1,3.8556250908020577
01,4,04,01_04,panelist,med,1,0,0,0,3.880188774948682
01,4,05,01_05,panelist,med,1,0,0,0,3.899750396843212
01,4,06,01_06,panelist,high,1,1,0,0,4.281043856250243
01,4,07,01_07,reviewer,high,0,1,0,0,3.937866629437396
01,4,08,01_08,panelist,med,1,0,0,0,4.711672666801378
01,4,09,01_09,panelist,low,1,0,1,0,4.537513329119564
01,4,10,01_10,panelist,med,1,0,0,0,4.258813459239867
01,4,11,01_11,panelist,low,1,0,1,0,4.020273074644444
01,4,12,01_12,panelist,med,1,0,0,0,4.2115464226503985
01,4,13,01_13,panelist,high,1,1,0,0,4.28075180693449
01,4,14,01_14,panelist,high,1,1,0,0,4.0049621873202055
01,4,15,01_15,panelist,med,1,0,0,0,4.287643929657337
01,4,16,01_16,panelist,med,1,0,0,0,4.266458274399227
01,4,17,01_17,reviewer,low,0,0,1,0,4.085285951356348
01,4,18,01_18,panelist,med,1,0,0,0,4.230917222094263
01,4,19,01_19,panelist,med,1,0,0,0,3.864527579427369
01,4,20,01_20,panelist,med,1,0,0,0,4.681264081585301
01,4,21,01_21,panelist,none,1,0,0,1,4.822549621507925
01,4,22,01_22,panelist,none,1,0,0,1,4.349023929843485
01,4,23,01_23,panelist,low,1,0,1,0,4.528582283449503
01,4,24,01_24,panelist,high,1,1,0,0,3.918928304651754
01,5,01,01_01,panelist,none,1,0,0,1,3.885728189583134
01,5,02,01_02,panelist,high,1,1,0,0,3.972726408584422
01,5,03,01_03,panelist,med,1,0,0,0,3.854732603491206
01,5,04,01_04,panelist,high,1,1,0,0,3.766957833688653
01,5,05,01_05,panelist,med,1,0,0,0,3.9816272643300787
01,5,06,01_06,panelist,low,1,0,1,0,4.03987496542424
01,5,07,01_07,panelist,med,1,0,0,0,3.524789940917658
01,5,08,01_08,panelist,med,1,0,0,0,4.354895057426999
01,5,09,01_09,panelist,none,1,0,0,1,4.540164325432499
01,5,10,01_10,panelist,high,1,1,0,0,4.227138067757181
01,5,11,01_11,panelist,low,1,0,1,0,3.5024315308528915
01,5,12,01_12,panelist,med,1,0,0,0,4.0325519063653275
01,5,13,01_13,reviewer,none,0,0,0,1,3.9831320322572594
01,5,14,01_14,panelist,high,1,1,0,0,3.970182882497696
01,5,15,01_15,panelist,high,1,1,0,0,3.9066670702964617
01,5,16,01_16,panelist,med,1,0,0,0,3.8204792103945042
01,5,17,01_17,panelist,low,1,0,1,0,4.246054983442265
01,5,18,01_18,panelist,med,1,0,0,0,4.293785454851324
01,5,19,01_19,reviewer,med,0,0,0,0,3.5415873554791886
01,5,20,01_20,panelist,med,1,0,0,0,4.265127341643397
01,5,21,01_21,panelist,none,1,0,0,1,4.070289683914078
01,5,22,01_22,panelist,med,1,0,0,0,4.108261936608768
01,5,23,01_23,reviewer,low,0,0,1,0,4.069785065608609
01,5,24,01_24,panelist,high,1,1,0,0,4.1000763496770665
01,6,01,01_01,reviewer,none,0,0,0,1,4.180307473964188
01,6,02,01_02,panelist,high,1,1,0,0,4.742122344891082
01,6,03,01_03,panelist,low,1,0,1,0,4.183428394184357
01,6,04,01_04,panelist,med,1,0,0,0,4.242440557752922
01,6,05,01_05,panelist,high,1,1,0,0,4.0206473691178335
01,6,06,01_06,panelist,med,1,0,0,0,4.557535009526707
01,6,07,01_07,panelist,high,1,1,0,0,3.8161531628651257
01,6,08,01_08,panelist,med,1,0,0,0,4.411851375155017
01,6,09,01_09,panelist,med,1,0,0,0,4.426492282943102
01,6,10,01_10,panelist,med,1,0,0,0,4.211182362335801
01,6,11,01_11,panelist,low,1,0,1,0,4.1221455798889695
01,6,12,01_12,panelist,none,1,0,0,1,4.749816388293206
01,6,13,01_13,panelist,med,1,0,0,0,4.5481939764494435
01,6,14,01_14,panelist,high,1,1,0,0,4.307205146813179
01,6,15,01_15,panelist,med,1,0,0,0,4.203600113364251
01,6,16,01_16,reviewer,med,0,0,0,0,4.419612635645679
01,6,17,01_17,panelist,med,1,0,0,0,4.157086267927588
01,6,18,01_18,reviewer,none,0,0,0,1,4.300678781421922
01,6,19,01_19,panelist,high,1,1,0,0,4.070664145836589
01,6,20,01_20,panelist,high,1,1,0,0,4.503036838333036
01,6,21,01_21,panelist,low,1,0,1,0,4.599273123613038
01,6,22,01_22,panelist,none,1,0,0,1,4.273928366385287
01,6,23,01_23,panelist,med,1,0,0,0,4.386210516107913
01,6,24,01_24,panelist,low,1,0,1,0,3.9218769361525854
01,7,01,01_01,reviewer,med,0,0,0,0,4.366889629681935
01,7,02,01_02,panelist,low,1,0,1,0,4.834151962711435
01,7,03,01_03,reviewer,med,0,0,0,0,4.122571523748773
01,7,04,01_04,panelist,high,1,1,0,0,4.198996338176406
01,7,05,01_05,panelist,high,1,1,0,0,3.975726627933626
01,7,06,01_06,panelist,high,1,1,0,0,4.601149804709867
01,7,07,01_07,panelist,med,1,0,0,0,4.125846524013858
01,7,08,01_08,panelist,low,1,0,1,0,4.7826210208781506
01,7,09,01_09,panelist,med,1,0,0,0,4.850249382162243
01,7,10,01_10,panelist,low,1,0,1,0,4.7769158656276245
01,7,11,01_11,panelist,med,1,0,0,0,4.40505136891619
01,7,12,01_12,panelist,none,1,0,0,1,4.587807167815861
01,7,13,01_13,panelist,med,1,0,0,0,4.746819363800264
01,7,14,01_14,panelist,none,1,0,0,1,4.828881323734681
01,7,15,01_15,panelist,high,1,1,0,0,4.192424331669802
01,7,16,01_16,panelist,med,1,0,0,0,4.724436326048185
01,7,17,01_17,panelist,none,1,0,0,1,4.896241138086089
01,7,18,01_18,panelist,low,1,0,1,0,4.50010474103701
01,7,19,01_19,reviewer,med,0,0,0,0,3.780404360576198
01,7,20,01_20,panelist,med,1,0,0,0,4.660091825973272
01,7,21,01_21,panelist,med,1,0,0,0,4.727019750994201
01,7,22,01_22,panelist,high,1,1,0,0,4.672250016468984
01,7,23,01_23,panelist,high,1,1,0,0,4.417650196789392
01,7,24,01_24,panelist,none,1,0,0,1,4.709127866759092
01,8,01,01_01,panelist,none,1,0,0,1,3.950754368022947
01,8,02,01_02,panelist,high,1,1,0,0,4.436141725180718
01,8,03,01_03,panelist,med,1,0,0,0,3.6307079564710163
01,8,04,01_04,panelist,med,1,0,0,0,3.584246259372986
01,8,05,01_05,panelist,high,1,1,0,0,3.6950290280924003
01,8,06,01_06,panelist,low,1,0,1,0,4.086461904782645
01,8,07,01_07,panelist,med,1,0,0,0,3.804562644344382
01,8,08,01_08,panelist,high,1,1,0,0,3.667955399775547
01,8,09,01_09,panelist,none,1,0,0,1,4.4923354869573195
01,8,10,01_10,panelist,high,1,1,0,0,3.547360557600631
01,8,11,01_11,panelist,high,1,1,0,0,3.959485906132767
01,8,12,01_12,panelist,none,1,0,0,1,3.9126685537487225
01,8,13,01_13,reviewer,med,0,0,0,0,3.9086296332036863
01,8,14,01_14,panelist,med,1,0,0,0,3.682682680372822
01,8,15,01_15,panelist,med,1,0,0,0,3.614782640838978
01,8,16,01_16,reviewer,none,0,0,0,1,3.9132161332946267
01,8,17,01_17,panelist,med,1,0,0,0,3.670285634267407
01,8,18,01_18,panelist,low,1,0,1,0,4.146096484111856
01,8,19,01_19,panelist,high,1,1,0,0,3.76650140498332
01,8,20,01_20,panelist,med,1,0,0,0,3.842579221074169
01,8,21,01_21,reviewer,med,0,0,0,0,3.8928991027061115
01,8,22,01_22,panelist,low,1,0,1,0,4.153516269128696
01,8,23,01_23,panelist,med,1,0,0,0,3.9124296764718185
01,8,24,01_24,panelist,low,1,0,1,0,3.5719361429048684
01,9,01,01_01,panelist,med,1,0,0,0,4.032924105855882
01,9,02,01_02,panelist,low,1,0,1,0,4.881431205413541
01,9,03,01_03,panelist,none,1,0,0,1,4.437494107625536
01,9,04,01_04,panelist,med,1,0,0,0,4.02468158990158
01,9,05,01_05,reviewer,none,0,0,0,1,3.864840634085228
01,9,06,01_06,panelist,high,1,1,0,0,4.639552224139522
01,9,07,01_07,panelist,high,1,1,0,0,4.192641112702189
01,9,08,01_08,panelist,med,1,0,0,0,4.739222938994294
01,9,09,01_09,panelist,med,1,0,0,0,4.679123609249824
01,9,10,01_10,panelist,med,1,0,0,0,4.509534250506875
01,9,11,01_11,panelist,med,1,0,0,0,4.050316997558527
01,9,12,01_12,panelist,high,1,1,0,0,4.182584730877688
01,9,13,01_13,panelist,med,1,0,0,0,4.840530809310839
01,9,14,01_14,panelist,high,1,1,0,0,4.279524641823056
01,9,15,01_15,panelist,none,1,0,0,1,4.719409328114098
01,9,16,01_16,panelist,high,1,1,0,0,4.325621817915903
01,9,17,01_17,reviewer,low,0,0,1,0,4.3250585953854515
01,9,18,01_18,panelist,low,1,0,1,0,4.78835763706518
01,9,19,01_19,panelist,high,1,1,0,0,3.910848168747502
01,9,20,01_20,panelist,none,1,0,0,1,4.827728797542288
01,9,21,01_21,panelist,low,1,0,1,0,4.8138694252909415
01,9,22,01_22,panelist,med,1,0,0,0,4.526612331589841
01,9,23,01_23,reviewer,med,0,0,0,0,4.455476210898381
01,9,24,01_24,panelist,med,1,0,0,0,4.295559599975266
01,10,01,01_01,panelist,low,1,0,1,0,4.146798540001006
01,10,02,01_02,panelist,high,1,1,0,0,4.004558461921556
01,10,03,01_03,panelist,none,1,0,0,1,3.9906361376341475
01,10,04,01_04,panelist,med,1,0,0,0,4.2047218085109614
01,10,05,01_05,panelist,none,1,0,0,1,4.164889611279949
01,10,06,01_06,panelist,high,1,1,0,0,4.056198581075948
01,10,07,01_07,panelist,high,1,1,0,0,3.8750861512242194
01,10,08,01_08,panelist,med,1,0,0,0,4.5057952360253495
01,10,09,01_09,panelist,high,1,1,0,0,4.711457461687184
01,10,10,01_10,panelist,none,1,0,0,1,4.382266962790101
01,10,11,01_11,panelist,high,1,1,0,0,3.7022654331565428
01,10,12,01_12,reviewer,med,0,0,0,0,4.078027587270433
01,10,13,01_13,panelist,med,1,0,0,0,4.10140957600427
01,10,14,01_14,panelist,med,1,0,0,0,4.07243351254598
01,10,15,01_15,panelist,med,1,0,0,0,4.248035659916102
01,10,16,01_16,panelist,low,1,0,1,0,4.392775550836047
01,10,17,01_17,reviewer,low,0,0,1,0,4.172385772945178
01,10,18,01_18,panelist,none,1,0,0,1,4.5008957471738285
01,10,19,01_19,panelist,low,1,0,1,0,4.043374025695532
01,10,20,01_20,panelist,med,1,0,0,0,4.008089231040804
01,10,21,01_21,panelist,med,1,0,0,0,4.193234765279159
01,10,22,01_22,reviewer,med,0,0,0,0,3.5638397769957906
01,10,23,01_23,panelist,high,1,1,0,0,3.8741286883484825
01,10,24,01_24,panelist,med,1,0,0,0,3.7034662239150142
01,11,01,01_01,panelist,none,1,0,0,1,3.946890378683443
01,11,02,01_02,panelist,none,1,0,0,1,4.883504728976213
01,11,03,01_03,panelist,low,1,0,1,0,3.7981287573231453
01,11,04,01_04,panelist,med,1,0,0,0,3.5938435542326244
01,11,05,01_05,panelist,med,1,0,0,0,3.6819732800670866
01,11,06,01_06,panelist,med,1,0,0,0,4.298893526680651
01,11,07,01_07,panelist,med,1,0,0,0,3.658752477709448
01,11,08,01_08,panelist,high,1,1,0,0,4.255662316523791
01,11,09,01_09,panelist,med,1,0,0,0,4.288931496708328
01,11,10,01_10,panelist,high,1,1,0,0,3.8777635285455996
01,11,11,01_11,panelist,high,1,1,0,0,3.6401932866458213
01,11,12,01_12,panelist,high,1,1,0,0,4.083639143206663
01,11,13,01_13,panelist,none,1,0,0,1,4.8596580299267
01,11,14,01_14,reviewer,low,0,0,1,0,3.697293747675915
01,11,15,01_15,reviewer,none,0,0,0,1,3.899784730211845
01,11,16,01_16,reviewer,med,0,0,0,0,3.9367581916910206
01,11,17,01_17,panelist,med,1,0,0,0,3.9039544028130675
01,11,18,01_18,panelist,med,1,0,0,0,4.06902434636703
01,11,19,01_19,panelist,med,1,0,0,0,3.5034783925287103
01,11,20,01_20,panelist,high,1,1,0,0,4.080635836040749
01,11,21,01_21,panelist,low,1,0,1,0,4.571156044292902
01,11,22,01_22,panelist,med,1,0,0,0,4.20885919776414
01,11,23,01_23,panelist,high,1,1,0,0,3.9781348439884576
01,11,24,01_24,panelist,low,1,0,1,0,4.061849668712895
01,12,01,01_01,panelist,med,1,0,0,0,4.031700553797381
01,12,02,01_02,panelist,med,1,0,0,0,4.412642711171192
01,12,03,01_03,panelist,none,1,0,0,1,3.8799290748558075
01,12,04,01_04,panelist,high,1,1,0,0,3.72908327196737
01,12,05,01_05,reviewer,med,0,0,0,0,3.6224050058609425
01,12,06,01_06,panelist,med,1,0,0,0,4.121326584463262
01,12,07,01_07,reviewer,med,0,0,0,0,3.681549625543045
01,12,08,01_08,panelist,high,1,1,0,0,4.204262507045731
01,12,09,01_09,panelist,high,1,1,0,0,4.425691753766487
01,12,10,01_10,panelist,none,1,0,0,1,4.742017534572141
01,12,11,01_11,panelist,low,1,0,1,0,3.6924704774835515
01,12,12,01_12,panelist,med,1,0,0,0,4.108194933130875
01,12,13,01_13,panelist,high,1,1,0,0,4.505275079495734
01,12,14,01_14,panelist,low,1,0,1,0,4.197734062606331
01,12,15,01_15,panelist,med,1,0,0,0,4.32061402570244
01,12,16,01_16,panelist,none,1,0,0,1,4.550543828358365
01,12,17,01_17,panelist,low,1,0,1,0,4.724570741789287
01,12,18,01_18,reviewer,low,0,0,1,0,4.145444973410162
01,12,19,01_19,panelist,med,1,0,0,0,3.6859529682332433
01,12,20,01_20,panelist,none,1,0,0,1,4.367458310738443
01,12,21,01_21,panelist,high,1,1,0,0,4.279539424979553
01,12,22,01_22,panelist,med,1,0,0,0,4.318065508168597
01,12,23,01_23,panelist,high,1,1,0,0,4.196190108386086
01,12,24,01_24,panelist,med,1,0,0,0,3.798794307381328
01,13,01,01_01,panelist,med,1,0,0,0,4.073309313047646
01,13,02,01_02,panelist,med,1,0,0,0,4.474514607208038
01,13,03,01_03,panelist,med,1,0,0,0,3.906148477452891
01,13,04,01_04,panelist,high,1,1,0,0,4.30664886239162
01,13,05,01_05,panelist,med,1,0,0,0,4.168485983058417
01,13,06,01_06,panelist,med,1,0,0,0,4.631229949644558
01,13,07,01_07,panelist,high,1,1,0,0,4.1935023133315426
01,13,08,01_08,panelist,high,1,1,0,0,4.601968993814254
01,13,09,01_09,reviewer,med,0,0,0,0,4.742189134048211
01,13,10,01_10,panelist,high,1,1,0,0,4.499254057572552
01,13,11,01_11,panelist,none,1,0,0,1,4.02456804210798
01,13,12,01_12,panelist,none,1,0,0,1,4.6661281687754945
01,13,13,01_13,panelist,none,1,0,0,1,4.845619663885809
01,13,14,01_14,panelist,low,1,0,1,0,4.693583459484682
01,13,15,01_15,reviewer,med,0,0,0,0,4.202140039501251
01,13,16,01_16,panelist,none,1,0,0,1,4.531853732703933
01,13,17,01_17,panelist,low,1,0,1,0,4.496105817662459
01,13,18,01_18,panelist,med,1,0,0,0,4.389450548433314
01,13,19,01_19,panelist,high,1,1,0,0,4.010300574284213
01,13,20,01_20,panelist,high,1,1,0,0,4.46491774518332
01,13,21,01_21,panelist,low,1,0,1,0,4.696647924732063
01,13,22,01_22,reviewer,med,0,0,0,0,4.131804910456452
01,13,23,01_23,panelist,low,1,0,1,0,4.582594264203999
01,13,24,01_24,panelist,med,1,0,0,0,4.258883611075673
01,14,01,01_01,panelist,med,1,0,0,0,3.869891100919528
01,14,02,01_02,panelist,low,1,0,1,0,4.463337813168353
01,14,03,01_03,panelist,low,1,0,1,0,3.7788259663582258
01,14,04,01_04,panelist,high,1,1,0,0,3.9056169283918787
01,14,05,01_05,reviewer,med,0,0,0,0,3.8042930104591637
01,14,06,01_06,panelist,med,1,0,0,0,4.039102323467008
01,14,07,01_07,panelist,low,1,0,1,0,3.901954254452099
01,14,08,01_08,panelist,high,1,1,0,0,4.156779130232854
01,14,09,01_09,panelist,med,1,0,0,0,4.449779610343458
01,14,10,01_10,panelist,none,1,0,0,1,3.7232614989306323
01,14,11,01_11,panelist,med,1,0,0,0,3.8801063012566295
01,14,12,01_12,panelist,high,1,1,0,0,4.040952361924813
01,14,13,01_13,panelist,med,1,0,0,0,4.329538618715275
01,14,14,01_14,panelist,none,1,0,0,1,4.476665562134367
01,14,15,01_15,reviewer,none,0,0,0,1,4.330022151933103
01,14,16,01_16,panelist,low,1,0,1,0,4.225164088112406
01,14,17,01_17,panelist,med,1,0,0,0,4.1224439715423316
01,14,18,01_18,panelist,high,1,1,0,0,3.608065490497851
01,14,19,01_19,panelist,med,1,0,0,0,3.55863312828835
01,14,20,01_20,reviewer,high,0,1,0,0,3.5011189985036117
01,14,21,01_21,panelist,med,1,0,0,0,4.106458481723175
01,14,22,01_22,panelist,none,1,0,0,1,4.015532842272413
01,14,23,01_23,panelist,high,1,1,0,0,4.225228590896115
01,14,24,01_24,panelist,med,1,0,0,0,3.7057537164866017
01,15,01,01_01,panelist,med,1,0,0,0,3.6031688959695947
01,15,02,01_02,panelist,none,1,0,0,1,4.263550643960474
01,15,03,01_03,panelist,med,1,0,0,0,3.561788557106926
01,15,04,01_04,panelist,low,1,0,1,0,3.5448139329945656
01,15,05,01_05,panelist,med,1,0,0,0,3.7791171561298675
01,15,06,01_06,panelist,high,1,1,0,0,3.862672764944092
01,15,07,01_07,reviewer,high,0,1,0,0,3.6077803246887354
01,15,08,01_08,panelist,med,1,0,0,0,3.6345264634475982
01,15,09,01_09,panelist,high,1,1,0,0,3.902318030689622
01,15,10,01_10,reviewer,none,0,0,0,1,3.6400869526938906
01,15,11,01_11,panelist,low,1,0,1,0,3.730970972301598
01,15,12,01_12,panelist,none,1,0,0,1,4.065262974785968
01,15,13,01_13,panelist,med,1,0,0,0,4.049205518125941
01,15,14,01_14,panelist,med,1,0,0,0,3.6278961850159828
01,15,15,01_15,reviewer,low,0,0,1,0,3.701821570980956
01,15,16,01_16,panelist,med,1,0,0,0,3.9426335550523537
01,15,17,01_17,panelist,none,1,0,0,1,4.075680307190567
01,15,18,01_18,panelist,med,1,0,0,0,3.6677225709221313
01,15,19,01_19,panelist,high,1,1,0,0,3.54728294877809
01,15,20,01_20,panelist,high,1,1,0,0,3.846812783902687
01,15,21,01_21,panelist,med,1,0,0,0,3.8683029646457614
01,15,22,01_22,panelist,high,1,1,0,0,3.757700563854987
01,15,23,01_23,panelist,med,1,0,0,0,3.788847527819847
01,15,24,01_24,panelist,low,1,0,1,0,3.573041534894256
02,1,01,02_01,panelist,none,1,0,0,1,4.323088384077185
02,1,02,02_02,panelist,med,1,0,0,0,4.523959390377819
02,1,03,02_03,reviewer,med,0,0,0,0,3.5455318107843854
02,1,04,02_04,panelist,high,1,1,0,0,3.775534484927207
02,1,05,02_05,panelist,low,1,0,1,0,4.204828861139817
02,1,06,02_06,reviewer,med,0,0,0,0,4.061440239476844
02,1,07,02_07,reviewer,high,0,1,0,0,4.055705690905835
02,1,08,02_08,panelist,high,1,1,0,0,4.2186127449213195
02,1,09,02_09,panelist,high,1,1,0,0,4.476147495243068
02,1,10,02_10,panelist,none,1,0,0,1,4.314955420789947
02,1,11,02_11,panelist,med,1,0,0,0,4.06824518100867
02,1,12,02_12,panelist,med,1,0,0,0,4.330159007487223
02,1,13,02_13,panelist,low,1,0,1,0,4.684284675122886
02,1,14,02_14,panelist,med,1,0,0,0,4.020627350770753
02,1,15,02_15,panelist,med,1,0,0,0,4.001793812220836
02,1,16,02_16,panelist,med,1,0,0,0,4.001479944144073
02,1,17,02_17,panelist,none,1,0,0,1,4.394964429033488
02,1,18,02_18,panelist,low,1,0,1,0,4.53945441557456
02,1,19,02_19,panelist,none,1,0,0,1,4.68834052749236
02,1,20,02_20,panelist,med,1,0,0,0,4.26193540648293
02,1,21,02_21,panelist,high,1,1,0,0,3.910525845118557
02,1,22,02_22,panelist,high,1,1,0,0,4.34870572207948
02,1,23,02_23,panelist,med,1,0,0,0,4.385115997512755
02,1,24,02_24,panelist,low,1,0,1,0,3.8936372469514757
02,2,01,02_01,panelist,med,1,0,0,0,3.722097488043664
02,2,02,02_02,panelist,med,1,0,0,0,4.399978488351868
02,2,03,02_03,panelist,none,1,0,0,1,4.368654379539245
02,2,04,02_04,panelist,med,1,0,0,0,4.200106431841394
02,2,05,02_05,panelist,high,1,1,0,0,3.984753673009217
02,2,06,02_06,panelist,med,1,0,0,0,4.420084783247804
02,2,07,02_07,panelist,high,1,1,0,0,4.26670149840396
02,2,08,02_08,panelist,high,1,1,0,0,4.4232291324496575
02,2,09,02_09,reviewer,low,0,0,1,0,4.3853616258342125
02,2,10,02_10,panelist,low,1,0,1,0,4.647846610917421
02,2,11,02_11,panelist,med,1,0,0,0,3.6780481579059208
02,2,12,02_12,panelist,low,1,0,1,0,4.625913663555903
02,2,13,02_13,panelist,high,1,1,0,0,4.408227084314522
02,2,14,02_14,panelist,none,1,0,0,1,4.147738784311604
02,2,15,02_15,panelist,med,1,0,0,0,4.498574051978541
02,2,16,02_16,panelist,none,1,0,0,1,4.80814536453268
02,2,17,02_17,reviewer,low,0,0,1,0,4.275853577096279
02,2,18,02_18,panelist,med,1,0,0,0,4.105440266463314
02,2,19,02_19,panelist,med,1,0,0,0,3.745429633825477
02,2,20,02_20,panelist,med,1,0,0,0,4.406607074465279
02,2,21,02_21,panelist,high,1,1,0,0,4.2682338671684334
02,2,22,02_22,panelist,med,1,0,0,0,4.26976753737219
02,2,23,02_23,reviewer,none,0,0,0,1,4.42911725381685
02,2,24,02_24,panelist,high,1,1,0,0,3.878748484281798
02,3,01,02_01,panelist,med,1,0,0,0,3.700616960104231
02,3,02,02_02,panelist,none,1,0,0,1,4.742625584655431
02,3,03,02_03,panelist,high,1,1,0,0,3.7670706761488204
02,3,04,02_04,panelist,none,1,0,0,1,4.275409938996525
02,3,05,02_05,reviewer,low,0,0,1,0,3.812485753061308
02,3,06,02_06,panelist,med,1,0,0,0,4.374027327883108
02,3,07,02_07,panelist,med,1,0,0,0,4.47107776973748
02,3,08,02_08,panelist,none,1,0,0,1,4.5381884730680095
02,3,09,02_09,reviewer,low,0,0,1,0,4.626104839569876
02,3,10,02_10,panelist,med,1,0,0,0,4.056862681648176
02,3,11,02_11,panelist,high,1,1,0,0,3.988496857332071
02,3,12,02_12,panelist,none,1,0,0,1,4.052627819736909
02,3,13,02_13,panelist,med,1,0,0,0,4.756966486222542
02,3,14,02_14,panelist,high,1,1,0,0,4.323650836726216
02,3,15,02_15,panelist,med,1,0,0,0,4.160821170691391
02,3,16,02_16,panelist,low,1,0,1,0,4.092076080301838
02,3,17,02_17,panelist,med,1,0,0,0,4.329295826892706
02,3,18,02_18,panelist,high,1,1,0,0,4.303450142616863
02,3,19,02_19,panelist,high,1,1,0,0,3.747362501999273
02,3,20,02_20,panelist,med,1,0,0,0,4.178664409859277
02,3,21,02_21,panelist,low,1,0,1,0,4.438364611059389
02,3,22,02_22,panelist,high,1,1,0,0,4.163250040100852
